game_id,game_date,home_team,away_team,home_score,away_score,home_win,status
823295,2026-05-27,Padres,Phillies,0,3,0,Final
824836,2026-05-27,Orioles,Rays,11,2,1,Final
824270,2026-05-27,Tigers,Angels,4,0,1,Final
823376,2026-05-27,Pirates,Cubs,4,10,0,Final
824756,2026-05-27,Red Sox,Braves,8,0,1,Final
823626,2026-05-27,Mets,Reds,4,2,1,Final
824596,2026-05-27,White Sox,Twins,15,2,1,Final
824104,2026-05-27,Royals,Yankees,0,7,0,Final
822897,2026-05-28,Rangers,Astros,3,4,0,Final
823947,2026-05-28,Dodgers,Rockies,4,1,1,Final
824272,2026-05-28,Tigers,Angels,1,7,0,Final
824595,2026-05-28,White Sox,Twins,6,2,1,Final
824757,2026-05-28,Red Sox,Braves,2,10,0,Final
824834,2026-05-28,Orioles,Blue Jays,1,2,0,Final
823378,2026-05-28,Pirates,Cubs,2,7,0,Final
822896,2026-05-29,Rangers,Astros,1,5,0,Final
824515,2026-05-29,Reds,Braves,3,8,0,Final
822732,2026-05-29,Nationals,Padres,5,7,0,Final
823377,2026-05-29,Pirates,Twins,6,5,1,Final
824835,2026-05-29,Orioles,Blue Jays,5,6,0,Final
824433,2026-05-29,Guardians,Red Sox,4,3,1,Final
822978,2026-05-29,Rays,Angels,8,5,1,Final
823623,2026-05-29,Mets,Marlins,9,7,1,Final
823055,2026-05-29,Cardinals,Cubs,6,5,1,Final
824594,2026-05-29,White Sox,Tigers,4,3,1,Final
822894,2026-05-30,Rangers,Royals,9,1,1,Final
824191,2026-05-30,Astros,Brewers,4,5,0,Final
824353,2026-05-30,Rockies,Giants,8,6,1,Final
825002,2026-05-30,Athletics,Yankees,2,8,0,Final
823135,2026-05-30,Mariners,D-backs,7,6,1,Final
823946,2026-05-30,Dodgers,Phillies,4,2,1,Final
824593,2026-05-30,White Sox,Tigers,7,1,1,Final
822731,2026-05-30,Nationals,Padres,9,4,1,Final
822893,2026-05-30,Rangers,Royals,7,6,1,Final
824833,2026-05-30,Orioles,Blue Jays,6,5,1,Final
823375,2026-05-30,Pirates,Twins,10,9,1,Final
824431,2026-05-30,Guardians,Red Sox,1,9,0,Final
822975,2026-05-30,Rays,Angels,3,14,0,Final
823622,2026-05-30,Mets,Marlins,6,1,1,Final
824190,2026-05-30,Astros,Brewers,9,2,1,Final
823054,2026-05-30,Cardinals,Cubs,1,6,0,Final
824513,2026-05-30,Reds,Braves,2,5,0,Final
824352,2026-05-31,Rockies,Giants,8,3,1,Final
825000,2026-05-31,Athletics,Yankees,6,4,1,Final
823132,2026-05-31,Mariners,D-backs,5,1,1,Final
823945,2026-05-31,Dodgers,Phillies,3,4,0,Final
824832,2026-05-31,Orioles,Blue Jays,9,5,1,Final
822729,2026-05-31,Nationals,Padres,4,2,1,Final
823373,2026-05-31,Pirates,Twins,9,3,1,Final
824430,2026-05-31,Guardians,Red Sox,4,9,0,Final
822976,2026-05-31,Rays,Angels,5,2,1,Final
824512,2026-05-31,Reds,Braves,6,4,1,Final
823621,2026-05-31,Mets,Marlins,10,1,1,Final
824592,2026-05-31,White Sox,Tigers,2,1,1,Final
824187,2026-05-31,Astros,Brewers,0,2,0,Final
822895,2026-05-31,Rangers,Royals,6,3,1,Final
824354,2026-05-31,Rockies,Giants,6,19,0,Final
825001,2026-05-31,Athletics,Yankees,8,13,0,Final
823133,2026-05-31,Mariners,D-backs,3,2,1,Final
823944,2026-05-31,Dodgers,Phillies,9,1,1,Final
823053,2026-05-31,Cardinals,Cubs,5,1,1,Final
822974,2026-06-01,Rays,Tigers,9,10,0,Final
822730,2026-06-01,Nationals,Marlins,3,7,0,Final
824510,2026-06-01,Reds,Royals,2,9,0,Final
823702,2026-06-01,Twins,White Sox,9,6,1,Final
823781,2026-06-01,Brewers,Giants,16,2,1,Final
823050,2026-06-01,Cardinals,Rangers,1,2,0,Final
